capture_id,season,site,roll,capture,capture_date_local,capture_time_local,zooniverse_url_0,zooniverse_url_1,zooniverse_url_2,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_visible,p_users_identified_this_species,pielous_evenness_index
APN_S1#N3#2#16,APN_S1,N3,2,16,2017-07-25,1:24:27,https://panoptes-uploads.zooniverse.org/production/subject_location/0d642-054a0-1172c-0c73c-05e27.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/180ee-042c2-07e62-128a4-128a4.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/16735-131b6-0dba5-17f9e-03044.jpeg,17064544,giraffe,2,1,1,0.33,0,0.39,0.28,0.06,0,NA,0.95,0.3
APN_S1#UMH9#2#204,APN_S1,UMH9,2,204,2017-07-25,10:23:59,https://panoptes-uploads.zooniverse.org/production/subject_location/0bb66-04d81-0da67-0fca6-07229.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/082ac-0c0cb-130db-146ad-17cf3.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/17f9e-0794b-097d8-1382f-17531.jpeg,17271764,zebraburchells,1,1,1,1,0,0,0,0,0,NA,1,0
APN_S1#U64c#2#118,APN_S1,U64c,2,118,2017-07-25,11:39:54,https://panoptes-uploads.zooniverse.org/production/subject_location/074fc-12658-054a0-0ad29-08f79.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/08592-08bdb-02b32-08bdb-0750c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a1c9-1382f-150e7-0f7ea-099d2.jpeg,17612256,giraffe,2,1,1,0.45,0,0.6,0.05,0,0,NA,1,0
APN_S1#JJ7#1#11,APN_S1,JJ7,1,11,2017-07-25,7:23:26,https://panoptes-uploads.zooniverse.org/production/subject_location/162f6-128ec-12eee-111f8-067c9.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/07e62-128a4-1744c-160a0-0aa18.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/099d2-02d1b-05154-09b28-053f9.jpeg,17434963,giraffe,1,1,1,0.06,0,0.94,0,0,0,NA,0.89,0.5
APN_S1#JJ1#1#9,APN_S1,JJ1,1,9,2017-07-25,8:41:38,https://panoptes-uploads.zooniverse.org/production/subject_location/04d81-0ad29-18497-12e08-111f8.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/17ba7-11eba-06f15-06a39-07e62.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/065a2-143b4-0a490-062c9-12b40.jpeg,17530848,warthog,2,2,1,0,0,1,0,0,0,0,0.75,0.58
APN_S1#JJP#1#122,APN_S1,JJP,1,122,2017-07-25,0:33:03,https://panoptes-uploads.zooniverse.org/production/subject_location/0a76a-067c9-07229-06009-18497.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/131b9-10b9d-07c76-17b24-07c9f.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/12f95-0a490-143b4-123a6-17320.jpeg,17564654,kudu,6,6,5,0.62,0.06,0.88,0.69,0.06,0,0.12,0.84,0.58
APN_S1#KUMH#2#336,APN_S1,KUMH,2,336,2017-07-25,8:22:11,https://panoptes-uploads.zooniverse.org/production/subject_location/0e3b0-0ff35-068bf-0a4ae-0a76a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e983-02c37-1181a-11e98-1181a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/15eee-151f0-131b6-12467-143b4.jpeg,17473049,impala,1,1,1,0,0,1,0,0,0,0.94,0.94,0.31
APN_S1#K053#1#67,APN_S1,K053,1,67,2017-07-25,7:58:04,https://panoptes-uploads.zooniverse.org/production/subject_location/06774-09168-17b82-07229-0847e.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/145ca-0311e-03ce5-0a9c0-168aa.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0e220-04b41-0a48d-097d8-16d18.jpeg,17212399,impala,2,2,1,0.07,0,0.93,0,0,0,0,0.75,0.58
APN_S1#JJP#1#146,APN_S1,JJP,1,146,2017-07-25,8:14:04,https://panoptes-uploads.zooniverse.org/production/subject_location/054a0-05001-0295e-128ec-0962b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/128a4-03486-0ac2e-065aa-183ff.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a366-0dba5-17d44-099d2-038b4.jpeg,17991264,elephant,1,1,1,0,0,1,0,0,0,NA,0.39,0.94
APN_S1#K034#2#70,APN_S1,K034,2,70,2017-07-25,6:12:30,https://panoptes-uploads.zooniverse.org/production/subject_location/0ff35-0e14e-0f158-09aa9-162f6.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/06a39-0e581-17b24-0e4f6-100a4.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/109f8-04b17-15dd4-150e7-06a1a.jpeg,17959281,impala,1,1,1,0,0,0.12,1,0,0,NA,0.47,0.81
APN_S1#13U#1#50,APN_S1,13U,1,50,2017-07-25,2:15:22,https://panoptes-uploads.zooniverse.org/production/subject_location/05001-04e5c-08799-0e5a0-0921b.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/07fe2-03ce5-0426a-10105-07fe2.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0cc55-0ac28-16735-15df2-0e220.jpeg,17544573,kudu,1,1,1,0,0,1,0,0,0,NA,1,0
APN_S1#JJP#2#121,APN_S1,JJP,2,121,2017-07-26,15:00:04,https://panoptes-uploads.zooniverse.org/production/subject_location/14f11-05e27-0f768-0b790-05865.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0be8a-10c3d-02cd3-0b9eb-0e7e5.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/150e7-146e5-0a9ab-0a490-1456f.jpeg,17107232,impala,5,4,3,0.2,0.13,0.47,0.8,0,0,NA,0.94,0.34
APN_S1#JJ5#2#93,APN_S1,JJ5,2,93,2017-07-28,8:58:10,https://panoptes-uploads.zooniverse.org/production/subject_location/1172c-0921b-16764-12658-0b5f1.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/05851-131b9-11eba-0b381-0ef2c.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0fc35-0872f-0fc35-057ce-04b41.jpeg,17323383,buffalo,1,1,1,0.17,0,0.83,0,0,0,NA,0.5,0.84
APN_S1#U63c#1#156,APN_S1,U63c,1,156,2017-07-29,6:27:57,https://panoptes-uploads.zooniverse.org/production/subject_location/0a98b-0532a-162f6-054a0-0e5a0.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/168fa-06f8c-02c37-087dc-0e581.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/0a48d-108b6-1382f-038b4-0d0fd.jpeg,17485281,impala,1,1,1,0,0,1,0,0,0,NA,1,0
APN_S1#U64c#2#232,APN_S1,U64c,2,232,2017-08-01,19:41:10,https://panoptes-uploads.zooniverse.org/production/subject_location/15d0d-0cdef-074fc-0b7f9-04a51.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/027e6-0aff8-0279e-0311e-166bd.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/057ce-08df3-04e32-12f8d-0285d.jpeg,17519786,birdother,1,1,1,0,0,1,0,0,0,0.12,0.85,0.42
APN_S1#JJ7#2#119,APN_S1,JJ7,2,119,2017-08-02,22:49:53,https://panoptes-uploads.zooniverse.org/production/subject_location/166e4-12eee-06774-02fa5-057c2.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/16499-0fdde-160a0-11eba-09f3a.jpeg,https://panoptes-uploads.zooniverse.org/production/subject_location/13ab0-0e845-03044-04b41-0780c.jpeg,17489538,impala,1,1,1,0.05,0,0.95,0.05,0,0,0.95,0.95,0.29
